0,2008
1,2008
2,2008
3,2008
4,2008
5,2008
6,2008
7,2008
8,2008
9,2008
10,2008
11,2008
12,2008
13,2008
14,2008
15,2008
16,2008
17,2008
18,2008
19,2008
20,2008
21,2008
22,2008
23,2008
24,2008
25,2008
26,2008
27,2008
28,2008
29,2008
30,2008
31,2008
32,2008
33,2008
34,2008
35,2008
36,2008
37,2008
38,2008
39,2008
40,2008
41,2008
42,2008
43,2008
44,2008
45,2008
46,2008
47,2008
48,2008
49,2008
50,2008
51,2008
52,2008
53,2008
54,2008
55,2008
56,2008
57,2008
58,2008
59,2008
60,2008
61,2008
62,2008
63,2008
64,2008
65,2008
66,2008
67,2008
68,2008
69,2008
70,2008
71,2008
72,2008
73,2008
74,2008
75,2008
76,2008
77,2008
78,2008
79,2008
80,2008
81,2008
82,2008
83,2008
84,2008
85,2008
86,2008
87,2008
88,2008
89,2008
90,2008
91,2008
92,2008
93,2008
94,2008
95,2008
96,2008
97,2008
98,2008
99,2008
100,2008
